;Name of Added Sugar;Product Name;URL;Description
1;Agave Nectar;Panera Bread Agave Lemonade;https://www.panerabread.com/en-us/menu-categories/drinks.html#agave-lemonade;Agave nectar is produced from the agave plant, where juice is extracted from the core, filtered, and heated to break the complex components into simple sugars. This sugar is another name for agave syrup.
2;Agave Syrup;Starbucks Lemon Chiffon Yogurt;https://www.starbucks.com/menu/food/yogurt-and-fruit/lemon-chiffon-yogurt?foodZone=9999;Agave syrup is produced from the agave plant, where juice is extracted from the core, filtered, and heated to break the complex components into simple sugars.
3;Anhydrous Dextrose;Starbucks Chocolate Croissant;https://www.starbucks.com/menu/food/bakery/chocolate-croissant-lb;Anhydrous dextrose is a simple carbohydrate that is a colorless, odorless white powder. This sugar can be found in fillings, custards, and chocolate.
4;Apple Juice Concentrate;Clif Bar Blueberry Crisp Energy Bar;https://shop.clifbar.com/CLIF-Bar-Blueberry-Crisp/p/CLIF-102607&c=ClifBar@ClifBar@Bars;Apple juice concentrate is made by squeezing juice from the apple and removing a large percentage of the water, usually by heat. This sugar can be found in Blueberry Crisp bars.
5;Barley Malt;Cascadian Farm Organic Sweet & Salty Peanut Pretzel Chewy Granola Bar;https://www.cascadianfarm.com/product/sweet-salty-peanut-pretzel-chewy-granola-bar/;Barley malt is barley that has been allowed to germinate by soaking the grain in water, which prepares the starches to be converted into fermentable sugars. This sugar can be found in some chocolate chip granola bars.
6;Barley Malt Extract;Clif Bar Chocolate Chip Energy Bar;https://www.clifbar.com/products/clif/clif-bar/chocolate-chip;Barley malt extract is barley that has been allowed to germinate by soaking the grain in water. Insoluble fiber is removed and the resulting sugary liquid is concentrated to make a liquid sweetener or powder. This sugar can be found in Clif chocolate chip bars.
7;Barley Malt Syrup;Starbucks Fresh Blueberries And Honey Greek Yogurt Parfait Dessert;https://www.starbucks.com/menu/food/yogurt-and-fruit/fresh-blueberries-and-honey-greek-yogurt-parfait?foodZone=9999;Barley malt syrup is an unrefined sweetener processed by extraction from malt or barley. This sugar can be found in some Fresh blueberry and honey greek yogurt parfaits.
8;Beet Juice Concentrate;Yoplait Original Cherry Orchard Yogurt;https://www.yoplait.com/product/regular-original-cherry-orchard;Beet juice concentrate is made by squeezing juice from the beet and removing a large percentage of the water, usually by heat. This sugar can be found in Yoplait cherry orchard yogurt.
9;Beet Sugar;Nutella Hazlenut Spread With Cocoa;https://www.nutella.com/en/us/nutella-sugar;Beet sugar is formed by photosynthesis in the leaves and is then stored in the root. This sugar can be found in Nutella.
10;Beet Syrup;Clif Bar Builder's Chocolate Mint Protien Bar;https://www.clifbar.com/products/clif/builder-s/chocolate-mint;Beet syrup is made from the juice of harvested beets, cooked and concentrated. This sugar can be found in some chocolate mint protein bars.
11;Black Currant Juice Concentrate;Yogurtland Black Currant Berry Tart Frozen Yogurt;https://www.yogurt-land.com/flavors/view/3805/black-currant-berry-tart;Black currant juice concentrate is made by squeezing juice from black currants and removing a large percentage of the water, usually by heat. This sugar can be found in some blackberry acai bars.
12;Blackberry Juice Concentrate;Lindt Blackberry With Acai Excellence Bar Dark Chocolate;https://www.lindtusa.com/blackberry-with-acai-excellence-bar-e000486;Blackberry juice concentrate is made by squeezing juice from the blackberry and removing a large percentage of the water, usually by heat. This sugar can be found in some yogurts.
13;Blackcurrant Juice Concentrate;Nestlé Ceregrow Multigrain Cereal With Milk And Fruit;https://www.nestle.in/brands/mpn/ceregrow/ingredients;Blackcurrant juice concentrate is made by squeezing juice from blackcurrants and removing a large percentage of the water, usually by heat. This sugar can be found in some baby cereals.
14;Blackstrap Molasses;Whole Foods Market Gluten-Free Molasses Ginger Cookies;https://www.wholefoodsmarket.com/gluten-free/ingredients-nutrition;Blackstrap molasses is made by triple boiling and sugar extraction process. This sugar can be found in molasses ginger cookies.
15;Blood Orange Juice Concentrate;Noosa Yoghurt Blood Orange Yogurt;https://www.noosayoghurt.com/product/blood-orange/;Blood orange juice concentrate is made by squeezing juice from the blood orange and removing a large percentage of the water, usually by heat. This sugar can be found in some blood orange yogurts.
16;Blueberry Juice Concentrate;Oakhurst Wild Blueberry Flavored Milk;https://www.oakhurstdairy.com/product/flavored-milk-products/wild-blueberry-milk/;Blueberry juice concentrate is made by squeezing juice from the blueberry and removing a large percentage of the water, usually by heat. This sugar can be found in some wild blueberry milks.
17;Boysenberry Juice Concentrate;Edy's Sherbet Berry Rainbow Ice Cream;https://www.edys.com/products/edys-classics/berry-rainbow/edys-classics-sherbet/;Boysenberry juice concentrate is made by squeezing juice from the boysenberry and removing a large percentage of the water, usually by heat. This sugar can be found in some berry flavored sherberts.
18;Brown Cane Sugar;Tate's Chocolate Chip Cookies;https://www.tatesbakeshop.com/Ingredients.pdf;Brown cane sugar is extracted from the sugarcane plant and not refined or sometimes it is in the form of cane juice. This sugar can be found in some chocolate chip cookies.
19;Brown Rice Syrup;Kashi Golean Honey Almond Flax Crunch Cereal;https://www.kashi.com/our-foods/cold-cereal/kashi-golean-crunch-honey-almond-flax-cereal;Brown rice syrup is made by cooking whole-grain rice, and then using enzymes to break down the starch into the sugars maltose, maltotriose, and a small amount of glucose. This sugar can be found in some honey almond flavor cereals.
20;Brown Rice Syrup Solids;McCormick Good Morning Brown Sugar Vanilla Breakfast Seasoning;https://www.mccormick.com/spices-and-flavors/breakfast/breakfast-seasonings/good-morning-brown-sugar-vanilla-seasoning;Brown rice syrup solids is made by cooking whole-grain rice, then using enzymes to break down the starch into the sugars maltose, maltotriose and a small amount of glucose. This sugar can be found in some brown sugar vanilla breakfast seasonings. 
21;Brown Sugar;Stubb's Sticky Sweet Legendary Bar-B-Q Sauce;http://www.stubbsbbq.com/product/sticky-sweet/?utm_source=google&utm_medium=cpc&utm_term=sweet%20bbq%20sauce&utm_content=stubbs&utm_campaign=stubbs%7Cfy17%7Cggl%7Cnb%7Cproducts%7Cbbq-sauce%7Cbroad&gclid=Cj0KCQjw45_bBRD_ARIsAJ6wUXS2v9xsHOqpvNhFLCM1CZQMkvTzC5kYmansS5pj0pX84dWo2vfDAPUaAnFyEALw_wcB;Brown sugar is a sucrose sugar product with brown color due to the presence of molasses. This sugar can be found in some sweet BBQ sauces.
22;Brown Sugar Syrup;General Mills Fiber One Honey Clusters Cereal;https://www.generalmills.com/en/Brands/Cereals/fiber-one/brand-product-list;"Brown sugar syrup adds a molasses-like richness to juices; it is made by heating brown sugar and water together. This sugar can be found in some cereal honey clusters."
23;Cane Crystals;Bluebonnet Nutrition Earthsweet Chewables Vitamin B6, B12 & Folic Acid Tablets;http://bluebonnetnutrition.com/product/74/EarthSweet%AE_Chewables_Vitamin_B%3Csub%3E6%3C-sub%3E%2C_B%3Csub%3E12%3C-sub%3E_%26_Folic_Acid_Tablets;"Cane crystals is still sugar. The sugar company, Florida Crystals, is the only one that uses the name ""cane crystals"". This sugar can be found in chewable vitamins."
24;Cane Juice;Whole Foods Market Madagascar Vanilla Wafers Cookies;https://www.wholefoodsmarket.com/products/magagascar-vanilla-wafers;Cane juice is defined as any sweetener derived from sugarcane syrup by US Food and Drug Administration (FDA). This sugar can be found in some vanilla wafers.
25;Cane Juice Crystals;Eggcellent Molasses Bacon Seasonings;https://www.eggcellentseasonings.com/product/molasses-bacon/?add-to-cart=291;"The sugar company, Florida Crystals, is the only one that uses the name ""cane juice crystals."" Nevertheless, it is still sugar. This sugar is found in molasses bacon seasoning."
26;Cane Molasses;Among Friends Baking Mixes Shane's Molasses Ginger Cookie Mix;http://amongfriendsbakingmixes.com/shanes-5/;Cane molasses is made by extracting the juice of cane sugar, boiling to concentrate it, which promotes sugar crystallization. The result of this first boiling is called first syrup, and it has the highest sugar content. This sugar can be found in molasses ginger cookie mixes.
27;Cane Refinery Syrup;Whataburger Grilled Chicken Sandwich;http://whataburger.com/food/item/grilled-chicken-sandwich-;Cane refinery syrup contains large quantities of fructose and glucose in pure form. This sugar can be found in some grilled chicken sandwiches.
28;Cane Sugar;Starbucks Smoked Mozarella & Roasted Pepper Sandwich;https://www.starbucks.com/menu/food/mercato/smoked-mozzarella-roasted-peppers;Cane sugar is extracted from the sugarcane plant and not refined, sometimes in the form of cane juice, this raw form of sugar still retains some of the molasses and moisture from the plant. This sugar can be found in some mozzarella and roasted pepper sandwiches.
29;Cane Syrup;Udis Gluten Free Cinnamon Raisin Bagel;https://udisglutenfree.com/products/cinnamon-raisin-bagel/;Cane syrup is a traditional American sweetener made by the simple concentration of cane juice through long cooking in open kettles. This sugar can be found in some chocolate chia muffin tops.
30;Caramelized Pear Juice Concentrate;Bakery On Main Extreme Nut & Fruit Granola;https://bakeryonmain.com/shop/extreme-nut-fruit-granola/;Caramelization is the oxidation of sugar that creates a browning reaction. After squeezing juice from the pear and removing a large percentage of the water, usually by heat. This sugar can be found in nut and fruit granola.
31;Caramelized Sugar;GravyMaster Seasoning Sauce;http://www.gravymaster.com/nutritional-information/;Caramelized sugar is simply a mixture of sugar and water cooked until it becomes syrup and darkens. This sugar can be found in Gravy Master.
32;Caramelized Sugar Syrup;Sahale Snacks Honey Almonds Glazed Mix;http://www.sahalesnacks.com/products/honey-almonds-glazed-mix;Caramelized sugar syrup is simply a mixture of sugar and water cooked until it becomes syrupy and darkens, and reaches a temperature from 340 to 350 degrees F. This sugar can be found in some honey almond glazed mixes.
33;Carrot Juice Concentrate;V8 Fruit & Vegetable Blends Carrot Mango Beverage;https://www.campbells.com/v8/v8-fruit-and-vegetable-blends/carrot-mango/;Carrot juice concentrate is made by squeezing juice from the carrot and removing a large percentage of the water, usually by heat. This sugar can be found in SmartMade Roasted Vegetables.
34;Cherry Juice Concentrate;Chobani Black Cherry On The Bottom Yogurt;https://www.chobani.com/products/greek/fruit-on-the-bottom/black-cherry/;Cherry juice concentrate is made by squeezing juice from the cherry and removing a large percentage of the water, usually by heat. This sugar can be found in some black cherry flavored yogurts.
35;Clarified Guava Juice Concentrate;Cascade Glacier Maui Waui Sherbet Ice Cream;https://www.cascadeglacier.com/product/maui-waui/;Clarified Guava Juice Concentrate is made by squeezing juice from the guava and removing a large percentage of the water, usually by heat and much if not all of the pulp is removed. This sugar can be found in some sherbert ice creams.
36;Clarified Lime Juice Concentrate;Dannon Yocream Key Lime Nonfat Non-Dairy Sorbet;https://www.chillzonenm.com/Flavor%20info/Key%20Lime%20Sorbet.pdf;Clarified Lime Juice Concentrate is made by squeezing juice from the lime and removing a large percentage of the water, usually by heat and much if not all of the pulp is removed. This sugar can be found in some key lime flavored sorbets.
37;Clover Honey;Kent's Sauce, A Honey And Hot Sauce Concoction;https://www.kentssauce.com/;Clover honey is honey that has been harvested from bees that have gathered nectar from a majority of clovers. This sugar can be found in some sauces.
38;Coconut Blossom Sugar;Dream Pops Chocolate Lion Popsicle;https://dreampops.com/collections/all/products/chocolate-lion-4-pack;Coconut blossom sugar is the dehydrated sap of the coconut palm. This sugar can be found in some chocolate popsicles.
39;Coconut Nectar;Super Natural Chocolate Chocolate Truffle;https://www.thegreatunbaked.com/pages/ingredients;Coconut nectar is made when the coconut tree is tapped and produces a nutrient-rich sap. This sugar can be found in some dark chocolate truffle balls.
40;Coconut Palm Nectar;Rickaroons Chocolate Blonde Coconut Energy Bar;https://www.rickaroons.com/chocolate-blonde/;Coconut Palm Nectar comes from sweet sap after tapping stalks or stems of flowering coconut blossoms and is further evaporated at low temperatures, forming a pourable syrup. This sugar can be found in some chocolate coconut energy bars.
41;Coconut Palm Sugar;Fage Crossovers Maple Syrup With Granola;https://usa.fage/products/yogurt/fage-crossovers/maple-syrup-granola;Coconut palm sugar is produced from the sap of the flower bud stem of the coconut palm. This sugar can be found in some yogurt crossovers.
42;Coconut Sugar;Miracle Noodle Ready-To-Eat Spaghetti With Tomato Sauce;https://miraclenoodle.com/products/miracle-noodle-ready-to-eat-spaghetti-with-tomato-sauce;Coconut sugar is the dehydrated sap of the coconut palm. This sugar can be found in some noodle and pasta packets.
43;Coconut Sugar Crystals;Super Natural Chocolate Chocolate Truffle;https://www.thegreatunbaked.com/pages/ingredients;Coconut crystals are made from dried coconut sap nectar which hardens into brown coconut sugar. This sugar can be found  in some dark chocolate truffle balls.
44;Concentrated Melon Juice;Hi-Chew Tropical Mix Bag Melon Candy;https://www.hi-chew.com/nutrition-information/#grabBag-nutrition;Concentrated melon juice is made by squeezing juice from the melon and removing a large percentage of the water, usually by heat. This sugar can be found in some chewing, watermelon flavored candy.
45;Corn Barley Malt Syrup (i);Country Life Natural Foods Cashwe Date Delight Granola;https://www.clnf.org/cashew-date-delight-3;Corn barley malt syrup is an unrefined sweetener processed by extraction from malt or barley. This sugar can be found in some cashew granola bars.
46;Corn Dextrin;Swiss Miss Milk Chocolate Hot Cocoa Pods;https://www.keurig.com/Beverages/Hot-Cocoa/Milk-Chocolate-Hot-Cocoa/p/Milk-Chocolate-Hot-Cocoa-Swiss-Miss:24_CT#SLOT3;Corn Dextrins are a type of Dextrin but only extracted from corns. This sugar can be found in some hot cocoa powders.
47;Corn Maltodextrin;Abbott Laboratories Ensure Plus Milk Chocolate Nutrition Shake;https://ensure.com/nutrition-products/ensure-plus#milk-chocolate;Corn Maltodextrin is a highly processed white powder made from corn, rice, potato starch, or wheat. This sugar can be found in some nutrition shakes.
48;Corn Sweetener;The Blue Pacific Grill Thai Peanut Sauce;http://www.thebluepacificgrill.com/Nutritional%20ingredient%20guides%20for%20BPG.pdf;Corn sweetener is made from the starch of corn and contains varying amounts of maltose and higher oligosaccharides, depending on the grade. This sugar can be found in some sauces and dressings. 
49;Corn Syrup;Starbucks Almond Butter Strawberries & Jam Sandwich;https://www.starbucks.com/menu/food/mercato/almond-butter-strawberry-jam;Corn syrup is a food syrup which is made from the starch of corn and contains varying amounts of maltose and higher oligosaccharides, depending on the grade. This sugar can be found in many products including salad dressings, breads, sweetened yogurts, and candy.
50;Corn Syrup Butter (ii);Fun Factory Sweet Shoppe Blueberry Popcorn;https://funfactorysweets.com/products/blueberry;Corn syrup butter is a food syrup which is made from the starch of corn and contains varying amounts of maltose and higher oligosaccharides, depending on the grade. This sugar can be found in some dark chocolate caramel bars.
51;Corn Syrup Solids;Quaker Chocolate Chip Chewy Granola Bars;http://www.quakeroats.com/products/oat-snacks/chewy-granola/chocolate-chip.aspx;Corn syrup solids provide energy for babies. Plus, they are easily digested even if the baby is sensitive to lactose or sucrose. Corn syrup solids are NOT the same as high-fructose corn syrup. This sugar can be found in chicken, cinnamon rolls, and mashed potatoes.
52;Cranberry Juice Concentrate;Hershey-Brookside Açai And Blueberry Flavors Dark Chocoalte;https://www.brooksidechocolate.com/en_us/products/blueberry-acai.html;Cranberry juice concentrate is made by squeezing juice from the cranberry and removing a large percentage of the water, usually by heat. This sugar can be found in snack bars, juices, and dressings.
53;Crystalline Fructose;Metagenics Endura Energy And Rehydration Formula Nutrition Supplement;https://www.metagenics.com/mas_assets/theme/metagenics/pdf/MET2170_Metagenics_Product_Catalog_2016.pdf;Crystalline fructose is 100 percent fructose. This sugar can be found in juices, breads and other bakery items.
54;Dark Brown Cane Sugar;BellaFineFoods Gluten Free Screamin' Chocolate Chip and Walnut Tefftations Cookie;http://www.bellafinefoods.com/gluten-free-cookie-screamin-chocolate-chip-and-walnut-tefftations/;Dark brown cane sugar is extracted from the sugarcane plant and not refined, sometimes in the form of cane juice, this raw form of sugar still retains some of the molasses and moisture from the plant. This sugar can be found in frozen dessert items.
55;Dark Brown Sugar;Fleurir Chocolates Cashew Toffee With Golden Flaxseed Toffees;http://www.fleurirchocolates.com/ingredients/;Brown sugar is a sucrose sugar product with brown color due to the presence of molasses. This sugar can be found in condiments, bakery items, and yogurts. 
56;Date Crystals;Shields' Famous Date Shake;http://www.shieldsdategarden.com/Images/lunch-menu-summer2017.pdf;Date Crystals are small, dehydrated date pieces that can be used dry as a sweetener or rehydrated to add sweetness. This sugar can be found in date vanilla milkshakes.
57;Date Juice Concentrate;Pascha Make Me Smile! Chocolate Fruit Spread;https://paschachocolate.com/collections/spread/products/new-improved-taste-make-me-smile-chocolate-fruit-spread;Date juice concentrate is made by obtaining juice from the date and removing a large percentage of the water, usually by heat. This sugar can be found in chocolate fruit spreads and nut blend mixes.
58;Date Syrup;Fourth and Heart Original Recipe Chocti Chocolate Ghee Spread;https://fourthandheart.com/product/original-recipe-chocti/;Date syrup is a whole food sweetener that contains plenty of fiber, minerals, and antioxidants. This sugar can be found in some chocolate spreads.
59;Decorative Sugars;Westminister Bakers Lucy's Holiday Sugars Cookies;http://www.westminstercrackers.com/holiday-sugar-cookies?page_id=42;Decorative sugar is the generic name for soluble carbohydrates designed and crafted to add visual appeal and sweetness to baked goods. This sugar can be found in holiday sugar cookies.
60;Dehydrated Cane Juice;Hadley Fruit Orchards Natural Juice Sweetened Mangos Dried Fruit;https://www.hadleyfruitorchards.com/product/natural-juice-sweetened-mangos-6oz;The US Food and Drug Administration (FDA) defines dehydrated cane juice as any sweetener derived from sugarcane syrup. This sugar can be found in peanut butter and other condiments.
61;Dehydrated Cane Sugar;Chatfield's White Chocolate Chips;https://www.chatfieldsbrand.com/product/white-chocolate-chips;Dehydrated cane sugar is a evaporated natural sweetener made from sugar cane. This sugar can found be in animal crackers, white chocolate chips, and uncured bacon pork sticks.
62;Demerara Sugar;Omaha Steaks Sweet Smoky Applewood Rub Seasoning;https://www.omahasteaks.com/servlet/OnlineShopping?Dsp=5706&IID=2652;Demerara sugar, or raw (cane) sugar, is made from the juice of the sugar cane plant with brown coloring due to the presence of molasses. This sugar can be found in seasonings, dressings, and chocolate bars.
63;Dextrin;365 Everyday Value Roasted Garlic Tanoori Naan;https://products.wholefoodsmarket.com/product/365-everyday-value-365-everyday-value-tandoori-naan-roasted-garlic-4-each-be62dd;Dextrins are a group of carbohydrates produced by the hydrolysis of starch or glycogen. This sugar can be found in 
64;Dextrose;Nature Valley Peanut Butter Protein Granola;https://www.naturevalley.com/product/peanut-butter-granola/;Dextrose is the name of a simple sugar that is made from corn and is chemically identical to glucose, or blood sugar. This sugar can be found in pancake mix, peanut butter protein granola bars, and cut meats like bologna and salami.
65;Dextrose Anhydrous Glucose;House Foods Mild Vermont Curry Sauce Mix;https://housefoods-group.com/products/en/catalog/vmt/mid.html;Dextrose anhydrous glucose is a monosaccharide, a simpler sugar than the fructose cane sugar, making it a dry sugar. This sugar can be found in some curry mixes.
66;Dextrose Sugar;Weightwatchers Toffee Peanut Mini Bar;https://www.weightwatchers.com/images/1033/dynamic/GCMSImages/Snacksmore_MiniBars_LearnMore.pdf;Dextrose is the name of a simple sugar that is made from corn and is chemically identical to glucose, or blood sugar. This sugar can be found in cold cut meats, bbq flavored chips, and caramel flavored candy.
67;Diastatic Malt;Prager Bros Croissant;http://www.pragerbrothers.com/ingredients/;Diastatic malt is a grain which has been sprouted, dried, and grounded into a powder. By sprouting the grain (often wheat or barley) and letting the grain grow into a small sprout, it activates the enzymes inside the grain. This sugar can be found in pastries and rye breads.
68;Diastatic Malt Powder;Wendel's Specialty Breads Rustic Pan Rye Bread;http://wendelsbread.com/rustic-pan-rye/;Diastatic malt powder is a grain that has been sprouted, dried and grounded into a powder. It is used in many baked goods to improve texture and rise of the product. This sugar can be found in rye breads.
69;Dried Brown Rice Syrup;Kashi Peanut Peanut Butter Chewy Granola Bar;https://www.kashi.com/our-foods/bars/kashi-chewy-granola-bars-peanut-peanut-butter;Brown rice syrup is a sweetener made by cooking whole-grain rice, and then using enzymes to break down the starch into the sugars maltose, maltotriose, and a small amount of glucose. This sugar can be found in chewy granola bars.
70;Dried Cane Sugar;Nature's Bakery Raspberry Whole Wheat Fig Bars;https://www.naturesbakery.com/shop-snacks/whole-wheat-fig-bars/whole-wheat-fig-bars-raspberry;Dried cane sugar is a dehydrated natural sweetener made from sugar cane. This sugar can be found in meal replacement bars, potato chips, and fig bars.
71;Dried Cane Syrup;Kashi Golean Honey Almond Flax Crunch Cereal;https://www.kashi.com/our-foods/cold-cereal/kashi-golean-crunch-honey-almond-flax-cereal;Dried cane syrup has undergone significantly less processing, which results in a large grain sugar that can be used in place of white sugar. This sugar can be found in flavored cereals, graham crackers and multi-grain bread.
72;Dried Cherry Juice Concentrate;Clif Bar Fruit Smoothie Filled Tart Cherry Berry Energy Bar;https://www.clifbar.com/products/clif/fruit-smoothie-filled/tart-cherry-berry;Cherry juice is a fruit juice consisting of the juice of cherries. It is then dried and concentrated, removing a large percentage of the water, usually by heat. This sugar can be found in energy bars. 
73;Dried Corn Syrup;Fruit Gushers Flavor Mixers;http://www.generalmills.com/en/Brands/Snacks/fruit-snacks/brand-product-list;Dried corn syrup is 100% glucose, the smallest form of sugar. They use the dried product in powdered coffee creamers, drink mixes and baby formula.
74;Dried Cranberry Juice Concentrate;Clif Bar Fruit Smoothie Filled Tart Cherry Berry Energy Bar;https://www.clifbar.com/products/clif/fruit-smoothie-filled/tart-cherry-berry;Cranberry juice is a fruit juice consisting of the juice of cranberries. It is then dried and concentrated, removing a large percentage of the water, usually by heat. This sugar can be found in energy bars.
75;Dried Glucose Syrup;Tim Hortons Sundried Tomato Asiago Parm Bagel;https://www.timhortons.com/us/en/pdf/Ingredient_Information_-_USA.pdf;Dried glucose syrups are carbohydrate powders with a slightly sweet taste that are used as sweeteners, nutritive components, or texturizing agents. This sugar can be found in candy, icing, and breads like bagels and pizza crust.
76;Elderberry Juice Concentrate;Clif Bar Blueberry Crisp Energy Bar;https://www.clifbar.com/products/clif/clif-bar/blueberry-crisp;Elderberry juice concentrate is made by squeezing juice from the Elderberry and removing a large percentage of the water, usually by heat. This sugar can be found in clif energy bars.
77;Ethyl Maltol;Kroger Original Mini Kaleidos Chocolate Sandwich Cookies;https://www.kroger.com/p/kroger-original-mini-kaleidos-chocolate-sandwich-cookies/0001111084630;Ethyl maltol is a white solid that is a common flavorant in some confectioneries. This sugar can be found in chocolate, gelatin desserts, and juices like fruit punch.
78;Evaporated Cane Crystals;Tanka Slow Smoked Original flavor Buffalo Beef Sticks;http://www.tankabar.com/cgi-bin/nanf/public/viewStory.cvw?sessionid=497c4676af9ce8358b4f29fc472e4241cdb92ddae837&storyid=134975&sectionname=Nutritionals&commentbox=Y;"The sugar company, Florida Crystals, is the only one that uses the name ""cane crystals"". Nevertheless, it is still sugar. This sugar can be found in bread mixes. "
79;Evaporated Cane Juice;Gopicnic Peanut Butter And Honey Crackers;http://gopicnic.com/peanut-butter-crackers;The US Food and Drug Administration (FDA) defines evaporated cane juice as any sweetener derived from sugarcane syrup. This sugar can be found in quinoa granola, cereal bars, and chocolate soy milk.
80;Evaporated Cane Juice Invert Syrup;Back To Nature Dark Chocolate & Oats Granola Cookie;https://www.backtonaturefoods.com/what-we-make/cookies/dark-chocolate-oats-granola-cookies/;Evaporated cane juice invert syrup is a highly soluble sweetener manufactured by dissolving evaporated cane juice in water and inverting a percentage of the sucrose. This sugar can be found in products like beverages, baked goods, dairy, and granola.
81;Evaporated Cane Juice Syrup;Isagenix Isalean Bar Chocolate Cream Crisp Bar;https://www.isagenix.com/en-us/products/weight-loss/individual/isalean-bar;Evaporated cane juice is any sweetener derived from sugarcane syrup and can be found in chocolate protein bars. 
82;Evaporated Cane Sugar;Popcorners Sweet & Salty Kettle Corn Chips;https://www.popcorners.com/pop-corners/kettle-corn-pop-corners;Evaporated cane sugar is a dehydrated natural sweetener made from sugar cane. This sugar can be found in pasta, sauces, and yogurts.
83;Evaporated Cane Syrup;Smartmade White Wine Chicken And Couscous Frozen Meal;https://www.eatyourbest.com/smartmade/product/00025800000234;Evaporated cane juice is a completely natural sweetener made from sugar cane. This sugar can be found in cereal bars, cold-cut meats, and pizza crust.
84;Evaporated Coconut Palm Nectar;Rickaroons Chocolate Blonde Coconut Energy Bar;https://www.rickaroons.com/chocolate-blonde/;Evaporated coconut palm nectar is a produced from fresh sap after cutting flower buds of the coconut palm. This sugar can be found in chocolate blonde coconut energy bars.
85;Fair Trade Unrefined Cane Sugar;Tabl Pomegranate Ketchup;https://www.tabl.com/aphrodites/pomegranate-ket%C3%A7hup;Organic fair trade unrefined cane sugar are cane sugars that are a dark brown color and retain most or all of the original cane molasses. This sugar can be found in ketchup.
86;Fondant Sugar;Dan's Chocolates Classic Assorted Boxed Chocolate;https://www.danschocolates.com/ingredients;Fondant Sugar is up to 100 times finer than standard confectioners sugar. Fondant is typically used on wedding cakes, pastries, marshmallows, and candy.
